,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
684385,2018512805,ted.europa.eu/udl?uri=TED:NOTICE:512805-2018:TEXT:EN:HTML,"Festival de Málaga e Iniciativas Audiovisuales, S. A.",Málaga,29012,8,"Recreation, culture and religion",S,55110000.0,250000.0,,
684414,2018512821,ted.europa.eu/udl?uri=TED:NOTICE:512821-2018:TEXT:EN:HTML,Banco de España,Madrid,28014,8,Economical anf Financial Affairs,S,63000000.0,4395400.0,,
684416,2018512823,ted.europa.eu/udl?uri=TED:NOTICE:512823-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Castellón de la Plana,Castellón de la Plana,12001,3,General public\services,S,71354300.0,240197.63,,
684419,2018512825,ted.europa.eu/udl?uri=TED:NOTICE:512825-2018:TEXT:EN:HTML,Presidencia de la Diputación Provincial de Toledo,Toledo,45002,3,General public\services,S,90911200.0,560936.05,,
684604,2018512845,ted.europa.eu/udl?uri=TED:NOTICE:512845-2018:TEXT:EN:HTML,"Servicios de Incineracion de Residuos Sólidos Urbanos, S. A., SIRUSA",Tarragona,43006,6,General public\services,S,66510000.0,412723.23,,
684612,2018512847,ted.europa.eu/udl?uri=TED:NOTICE:512847-2018:TEXT:EN:HTML,"Servicios de Incineración de Residuos Sólidos Urbanos, S. A., SIRUSA",Tarragona,43006,6,General public\services,S,14930000.0,1196000.0,,
684658,2018512875,ted.europa.eu/udl?uri=TED:NOTICE:512875-2018:TEXT:EN:HTML,Servicio Público de Empleo de Castilla y León,Arroyo de la Encomienda (Valladolid),47195,3,Social protection,S,72212518.0,1720957.96,,
684710,2018512902,ted.europa.eu/udl?uri=TED:NOTICE:512902-2018:TEXT:EN:HTML,"Gobierno Vasco, Cultura y Política Lingüística",Vitoria-Gasteiz,,3,General public\services,S,73200000.0,406500.0,,
684746,2018512923,ted.europa.eu/udl?uri=TED:NOTICE:512923-2018:TEXT:EN:HTML,Subdirección General de la Oficina Presupuestaria y de Gestión Económica,Madrid,28071,1,General public\services,S,77311000.0,374279.62,,
684768,2018512933,ted.europa.eu/udl?uri=TED:NOTICE:512933-2018:TEXT:EN:HTML,Ayuntamiento de Pinto,Pinto,28320,3,General public\services,S,85311300.0,682244.8,18.98,
684776,2018513406,ted.europa.eu/udl?uri=TED:NOTICE:513406-2018:TEXT:EN:HTML,Consejería de Educación y Universidad,Palma,07009,3,Education,S,85140000.0,905581.0,,
684812,2018513446,ted.europa.eu/udl?uri=TED:NOTICE:513446-2018:TEXT:EN:HTML,ADIF — Alta Velocidad,Madrid,28036,4,Railway services,W,45234110.0,31896527.88,,
684813,2018513447,ted.europa.eu/udl?uri=TED:NOTICE:513447-2018:TEXT:EN:HTML,ADIF — Alta Velocidad,Madrid,28036,4,Railway services,W,45234110.0,35191385.3,,
684921,2018513724,ted.europa.eu/udl?uri=TED:NOTICE:513724-2018:TEXT:EN:HTML,Generalitat Valenciana Conselleria de Sanitat Universal i Salut Pública,Sant Joan d'Alacant,03550,3,Health,S,33000000.0,812777.48,24.0,
684922,2018513725,ted.europa.eu/udl?uri=TED:NOTICE:513725-2018:TEXT:EN:HTML,Universidad Internacional de Andalucía,Sevilla,41092,8,Education,S,79710000.0,623167.62,12.0,
684994,2018513884,ted.europa.eu/udl?uri=TED:NOTICE:513884-2018:TEXT:EN:HTML,Secretaría Autonómica de Educación e Investigación,Valencia,46015,3,Education,W,45214200.0,5715047.45,,
685184,2018514133,ted.europa.eu/udl?uri=TED:NOTICE:514133-2018:TEXT:EN:HTML,"Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, S. A.",Madrid,28027,6,Health,U,39296000.0,411618.75,,
685632,2018514173,ted.europa.eu/udl?uri=TED:NOTICE:514173-2018:TEXT:EN:HTML,Pleno de la Diputación Provincial de Zaragoza,Zaragoza,50071,3,General public\services,U,48000000.0,244412.9,,
685635,2018514175,ted.europa.eu/udl?uri=TED:NOTICE:514175-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento Villa de Agüimes,Villa de Agüimes,35260,3,General public\services,U,9300000.0,6803763.1,,
685640,2018514179,ted.europa.eu/udl?uri=TED:NOTICE:514179-2018:TEXT:EN:HTML,"Gerencia Asistencial de Atención Primaria, Servicio Madrileño de Salud",Madrid,28035,3,Health,U,24111500.0,1960707.9,,
685648,2018514181,ted.europa.eu/udl?uri=TED:NOTICE:514181-2018:TEXT:EN:HTML,"Departamento de Salud La Fe, Dirección Económica-Gerencia",Valencia,46026,3,Health,U,9343000.0,1272885.4,,
686505,2018514194,ted.europa.eu/udl?uri=TED:NOTICE:514194-2018:TEXT:EN:HTML,"Activa Mutua 2008, Mutua Colaboradora con la Seguridad Social n.º 3",Reus,43204,8,General public\services,U,30213000.0,272990.4,,
686506,2018514195,ted.europa.eu/udl?uri=TED:NOTICE:514195-2018:TEXT:EN:HTML,Inspección General de Sanidad de la Defensa,Madrid,28047,1,Defence,U,39297000.0,1983471.08,,
686806,2018514262,ted.europa.eu/udl?uri=TED:NOTICE:514262-2018:TEXT:EN:HTML,Servicio Gallego de Salud,Santiago de Compostela,15703,R,Health,U,31711000.0,2748087.84,,
687037,2018514319,ted.europa.eu/udl?uri=TED:NOTICE:514319-2018:TEXT:EN:HTML,Consorci Sanitari Integral,St. Joan Despí,08970,6,Health,U,33183100.0,,,
687061,2018514329,ted.europa.eu/udl?uri=TED:NOTICE:514329-2018:TEXT:EN:HTML,Banc de Sang i Teixits,Barcelona,08005,6,Health,U,33696500.0,506000.0,24.01,
687075,2018514334,ted.europa.eu/udl?uri=TED:NOTICE:514334-2018:TEXT:EN:HTML,Banc de Sang i Teixits,Barcelona,08005,6,Health,U,24111500.0,1429750.0,,
687089,2018514344,ted.europa.eu/udl?uri=TED:NOTICE:514344-2018:TEXT:EN:HTML,Banc de Sang i Teixits,Barcelona,08005,6,Health,U,33696200.0,327146.3,,
687094,2018514346,ted.europa.eu/udl?uri=TED:NOTICE:514346-2018:TEXT:EN:HTML,Presidencia del Cabildo Insular de Lanzarote,Arrecife,35500,3,General public\services,U,34121000.0,693000.0,,
687139,2018514802,ted.europa.eu/udl?uri=TED:NOTICE:514802-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de L&apos;Alcora,L&apos;Alcora,12110,3,General public\services,S,50230000.0,826446.28,,
687149,2018514812,ted.europa.eu/udl?uri=TED:NOTICE:514812-2018:TEXT:EN:HTML,Presidencia de la Confederación Hidrográfica del Miño-Sil,Ourense,32071,1,Environment,S,90733000.0,313468.91,,
687160,2018514823,ted.europa.eu/udl?uri=TED:NOTICE:514823-2018:TEXT:EN:HTML,"Dirección General de la Mutual Midat Cyclops, Mutua Colaboradora con la Seguridad Social, número 1",Barcelona,08029,8,Health,S,50330000.0,329148.0,,
687167,2018514828,ted.europa.eu/udl?uri=TED:NOTICE:514828-2018:TEXT:EN:HTML,Agencia Pública Andaluza de Educación,Camas,41900,6,Education,S,71000000.0,906438.76,,
687199,2018514837,ted.europa.eu/udl?uri=TED:NOTICE:514837-2018:TEXT:EN:HTML,"Consejería de Justicia e Interior, Junta de Andalucía",Sevilla,41001,3,General public\services,S,50700000.0,726008.8,,
687585,2018514966,ted.europa.eu/udl?uri=TED:NOTICE:514966-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Jaén,Jaén,23002,3,General public\services,S,72260000.0,408461.73,,
687588,2018514969,ted.europa.eu/udl?uri=TED:NOTICE:514969-2018:TEXT:EN:HTML,Banco de España,Madrid,28014,8,Economical anf Financial Affairs,S,71000000.0,375144.0,,
687589,2018514970,ted.europa.eu/udl?uri=TED:NOTICE:514970-2018:TEXT:EN:HTML,"Junta de Contratación del Ministerio de Agricultura, Alimentación y Medio Ambiente",Madrid,28071,1,Environment,S,50324200.0,397216.0,,
688110,2018515053,ted.europa.eu/udl?uri=TED:NOTICE:515053-2018:TEXT:EN:HTML,"Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S. A.",Sevilla,41092,8,Other,S,79342000.0,370668.0,,
688121,2018515060,ted.europa.eu/udl?uri=TED:NOTICE:515060-2018:TEXT:EN:HTML,"Consejería Insular del Área de Deportes y Juventud, Medio Ambiente, Servicios, Emergencias y Participación Ciudadana del Cabildo Insular de la Palma",Santa Cruz de La Palma,38700,3,General public\services,S,66512100.0,239098.23,,
688147,2018515075,ted.europa.eu/udl?uri=TED:NOTICE:515075-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72250000.0,2541800.0,,
688151,2018515078,ted.europa.eu/udl?uri=TED:NOTICE:515078-2018:TEXT:EN:HTML,"Junta de Contratación del Ministerio de Trabajo, Migraciones y Seguridad Social",Madrid,28071,1,General public\services,S,50334400.0,753600.0,,
688154,2018515081,ted.europa.eu/udl?uri=TED:NOTICE:515081-2018:TEXT:EN:HTML,Dirección Gerente del Hospital Universitario Nuestra Señora de Candelaria,Santa Cruz de Tenerife,38010,3,General public\services,S,72267100.0,341250.0,,
688262,2018515090,ted.europa.eu/udl?uri=TED:NOTICE:515090-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia - Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72250000.0,2054750.0,,
688269,2018515609,ted.europa.eu/udl?uri=TED:NOTICE:515609-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Roquetas de Mar,Roquetas de Mar,04740,3,General public\services,S,85320000.0,5057735.1,,
688270,2018515611,ted.europa.eu/udl?uri=TED:NOTICE:515611-2018:TEXT:EN:HTML,Fundación del Sector Público Estatal Centro Nacional de Investigaciones Oncológicas Carlos III,Madrid,28029,6,General public\services,S,55330000.0,300000.0,,
688271,2018515612,ted.europa.eu/udl?uri=TED:NOTICE:515612-2018:TEXT:EN:HTML,Pleno del Ayuntamiento de Ribadesella,Ribadesella,33560,3,General public\services,S,85300000.0,426005.44,,
688279,2018515625,ted.europa.eu/udl?uri=TED:NOTICE:515625-2018:TEXT:EN:HTML,Vicepresidencia y Conselleria de Igualdad y Políticas Inclusivas,Valencia,46018,3,Social protection,S,85311000.0,11381976.36,,
688295,2018515639,ted.europa.eu/udl?uri=TED:NOTICE:515639-2018:TEXT:EN:HTML,ADIF — Alta Velocidad,Madrid,28036,4,Railway services,W,45234110.0,28731110.73,,
688369,2018515758,ted.europa.eu/udl?uri=TED:NOTICE:515758-2018:TEXT:EN:HTML,Adif — Alta Velocidad,Madrid,28036,4,Railway services,S,71600000.0,1559913.22,,
688385,2018515766,ted.europa.eu/udl?uri=TED:NOTICE:515766-2018:TEXT:EN:HTML,Adif — Alta Velocidad,Madrid,28036,4,Railway services,S,71600000.0,1553384.33,,
688446,2018515884,ted.europa.eu/udl?uri=TED:NOTICE:515884-2018:TEXT:EN:HTML,"Empresa Corporación Municipal de Jerez, S. A. (Comujesa)",Jerez de la Frontera,11402,3,General public\services,U,63712600.0,,12.0,
688447,2018515918,ted.europa.eu/udl?uri=TED:NOTICE:515918-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,Madrid,28071,1,Defence,U,35420000.0,3719008.26,58.45,
688448,2018515919,ted.europa.eu/udl?uri=TED:NOTICE:515919-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,Madrid,28071,1,Defence,U,35330000.0,13322700.0,34.61,
688451,2018515934,ted.europa.eu/udl?uri=TED:NOTICE:515934-2018:TEXT:EN:HTML,Ayuntamiento de O Porriño,O Porriño,36400,3,General public\services,S,90600000.0,2393046.75,48.0,
688454,2018515937,ted.europa.eu/udl?uri=TED:NOTICE:515937-2018:TEXT:EN:HTML,Ajuntament de Cornellà de Llobregat,Cornellà de Llobregat,08940,3,General public\services,S,45237000.0,693834.24,12.0,
688455,2018515938,ted.europa.eu/udl?uri=TED:NOTICE:515938-2018:TEXT:EN:HTML,Universidad de Murcia,Murcia,30003,6,Education,S,90922000.0,765535.63,24.0,
688456,2018515939,ted.europa.eu/udl?uri=TED:NOTICE:515939-2018:TEXT:EN:HTML,Consorci d'Educació de Barcelona,Barcelona,08010,8,Education,S,71247000.0,256138.07,5.43,
688458,2018515941,ted.europa.eu/udl?uri=TED:NOTICE:515941-2018:TEXT:EN:HTML,Ayuntamiento de Marbella,Marbella,29601,3,General public\services,S,79212000.0,241584.2,,
688459,2018515942,ted.europa.eu/udl?uri=TED:NOTICE:515942-2018:TEXT:EN:HTML,Universidad de Murcia,Murcia,30003,6,Education,S,50000000.0,1290000.0,24.0,
688462,2018515945,ted.europa.eu/udl?uri=TED:NOTICE:515945-2018:TEXT:EN:HTML,Excelentísimo Ayuntamiento de Cuenca,Cuenca,16001,3,General public\services,S,90919000.0,2668053.4,48.0,
688467,2018515983,ted.europa.eu/udl?uri=TED:NOTICE:515983-2018:TEXT:EN:HTML,"Transportes Urbanos de Sevilla, S. A. M.",Sevilla,41007,4,"Urban railway, tramway, trolleybus or bus services",U,32323500.0,3420000.0,24.0,
688468,2018515984,ted.europa.eu/udl?uri=TED:NOTICE:515984-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,U,30200000.0,,60.0,
688469,2018515985,ted.europa.eu/udl?uri=TED:NOTICE:515985-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,U,45351000.0,,10.0,
688507,2018516096,ted.europa.eu/udl?uri=TED:NOTICE:516096-2018:TEXT:EN:HTML,"FREMAP, Mutua Colaboradora con la Seguridad Social número 61",Madrid,28222,8,Other,W,33140000.0,4400620.24,,
688548,2018516125,ted.europa.eu/udl?uri=TED:NOTICE:516125-2018:TEXT:EN:HTML,Pleno del Cabildo Insular de la Gomera,San Sebastián de La Gomera,38800,3,General public\services,W,45215212.0,15135152.39,,
688594,2018516157,ted.europa.eu/udl?uri=TED:NOTICE:516157-2018:TEXT:EN:HTML,Administrador de Infraestructuras Ferroviarias,Madrid,28036,6,Other,W,45234110.0,5710558.77,,
688701,2018516446,ted.europa.eu/udl?uri=TED:NOTICE:516446-2018:TEXT:EN:HTML,Inspección General de Sanidad de la Defensa,Madrid,28047,1,Defence,U,39297000.0,871900.84,,
688707,2018516448,ted.europa.eu/udl?uri=TED:NOTICE:516448-2018:TEXT:EN:HTML,"Sociedad Pública de Infraestructuras y Medio Ambiente de Castilla y León, S. A.",Valladolid,47008,8,General public\services,U,24962000.0,548324.76,,
688827,2018516460,ted.europa.eu/udl?uri=TED:NOTICE:516460-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria, S. A., S. M. E., M. P. (TRAGSA)",Madrid,28006,8,Environment,U,42500000.0,917386.92,11.97,
688828,2018516461,ted.europa.eu/udl?uri=TED:NOTICE:516461-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Hospital Universitario Virgen de las Nieves",Granada,18014,3,Health,U,33100000.0,230876.69,,
688909,2018516464,ted.europa.eu/udl?uri=TED:NOTICE:516464-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Hospital Universitario Reina Sofía",Córdoba,14004,3,Health,U,33184100.0,2692675.49,,
688910,2018516465,ted.europa.eu/udl?uri=TED:NOTICE:516465-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Complejo Hospitalario  Torrecárdenas",Almería,04009,3,Health,U,33600000.0,9796767.34,,
688929,2018516477,ted.europa.eu/udl?uri=TED:NOTICE:516477-2018:TEXT:EN:HTML,"Valenciana d&apos;Aprofitament Energètic de Residus, S. A. (VAERSA)",Valencia,46015,8,General public\services,U,42000000.0,280000.0,,
688972,2018516491,ted.europa.eu/udl?uri=TED:NOTICE:516491-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Málaga,Málaga,29016,3,General public\services,U,34100000.0,43549.59,,
688974,2018516492,ted.europa.eu/udl?uri=TED:NOTICE:516492-2018:TEXT:EN:HTML,Dirección General del Instituto Nacional de las Artes Escénicas y de la Música,Madrid,28004,1,Education,U,44191100.0,205000.0,2.17,
689375,2018516526,ted.europa.eu/udl?uri=TED:NOTICE:516526-2018:TEXT:EN:HTML,Servicio Andaluz de Salud — Área Hospitalaria Virgen del Rocío,Sevilla,41013,3,Health,U,33100000.0,322314.05,,
689378,2018516529,ted.europa.eu/udl?uri=TED:NOTICE:516529-2018:TEXT:EN:HTML,Departamento de Salud de San Juan Alicante — Dirección Económica-Gerencia,Sant Joan d&apos;Alacant,03550,3,Health,U,33140000.0,2400181.22,,
689386,2018516536,ted.europa.eu/udl?uri=TED:NOTICE:516536-2018:TEXT:EN:HTML,Pleno del Ayuntamiento de Alfoz de Lloredo,Novales,39526,3,General public\services,U,31527200.0,602497.47,,
689416,2018516540,ted.europa.eu/udl?uri=TED:NOTICE:516540-2018:TEXT:EN:HTML,Servicio Cántabro de Salud,Santander,39011,3,Health,U,33140000.0,2664420.0,,
689424,2018516543,ted.europa.eu/udl?uri=TED:NOTICE:516543-2018:TEXT:EN:HTML,Gerencia Regional de Salud de Castilla y León,Valladolid,47007,3,Health,U,30120000.0,9358950.4,,
689425,2018516544,ted.europa.eu/udl?uri=TED:NOTICE:516544-2018:TEXT:EN:HTML,"Logaritme, Serveis Logístics, A. I. E.",Sant Sadurní d&apos;Anoia,08770,6,Other,U,44617000.0,670690.55,,
689433,2018516546,ted.europa.eu/udl?uri=TED:NOTICE:516546-2018:TEXT:EN:HTML,Universidad del País Vasco — Euskal Herriko Unibertsitatea,Leioa,48940,6,Education,U,44521120.0,429752.08,,
689435,2018516548,ted.europa.eu/udl?uri=TED:NOTICE:516548-2018:TEXT:EN:HTML,Parlamento Vasco,Vitoria-Gasteiz (Araba/Álava),01005,3,General public\services,U,9310000.0,320500.0,,
689438,2018516550,ted.europa.eu/udl?uri=TED:NOTICE:516550-2018:TEXT:EN:HTML,Banc de Sang i Teixits,Barcelona,08005,6,Health,U,33696200.0,521626.9,,
689492,2018516557,ted.europa.eu/udl?uri=TED:NOTICE:516557-2018:TEXT:EN:HTML,Director de Abastecimiento y Transportes de la Jefatura de Apoyo Logístico de la Armada,Madrid,28036,1,Defence,U,35340000.0,11700000.0,,
689498,2018516561,ted.europa.eu/udl?uri=TED:NOTICE:516561-2018:TEXT:EN:HTML,Servicio Murciano de Salud,Murcia,30100,6,Health,U,33651400.0,12876674.12,,
689540,2018516564,ted.europa.eu/udl?uri=TED:NOTICE:516564-2018:TEXT:EN:HTML,Consellería de Infraestructuras y Movilidad — Secretaría General Técnica,Santiago de Compostela,15781,3,General public\services,U,44212321.0,661157.02,,
689541,2018516565,ted.europa.eu/udl?uri=TED:NOTICE:516565-2018:TEXT:EN:HTML,Junta de Contratación del Ejército del Aire,Madrid,28071,1,Defence,U,15100000.0,10762000.0,,
689947,2018516583,ted.europa.eu/udl?uri=TED:NOTICE:516583-2018:TEXT:EN:HTML,Diputación de Girona,Girona,17004,3,General public\services,U,34928530.0,5501324.32,,
689978,2018516595,ted.europa.eu/udl?uri=TED:NOTICE:516595-2018:TEXT:EN:HTML,Servicio Madrileño de Salud — Hospital Universitario «12 de Octubre»,Madrid,28041,6,Health,U,33141200.0,301814.92,,
690051,2018516597,ted.europa.eu/udl?uri=TED:NOTICE:516597-2018:TEXT:EN:HTML,CIC bioGUNE — Asociación Centro de Investigación Cooperativa en Biociencias,"Zamudio (Derio, Bizkaia)",48160,8,Health,U,9310000.0,1400000.0,,
690119,2018516612,ted.europa.eu/udl?uri=TED:NOTICE:516612-2018:TEXT:EN:HTML,Administrador de Infraestructuras Ferroviarias,Madrid,28036,6,Other,U,34940000.0,312800.0,,
690274,2018516646,ted.europa.eu/udl?uri=TED:NOTICE:516646-2018:TEXT:EN:HTML,Gerencia de Servicios Sanitarios del Área de Salud de Lanzarote,Arrecife,35500,3,Health,U,33600000.0,675813.99,,
690393,2018517170,ted.europa.eu/udl?uri=TED:NOTICE:517170-2018:TEXT:EN:HTML,"Consejo de Administración de Aguas de las Cuencas Mediterráneas, S. M. E., S. A. (Acuamed)",Madrid,28037,8,General public\services,S,64200000.0,465000.0,,
690394,2018517171,ted.europa.eu/udl?uri=TED:NOTICE:517171-2018:TEXT:EN:HTML,Rectorado de la Universidad Complutense de Madrid,Madrid,28040,8,Education,S,98310000.0,1245195.27,,
690400,2018517177,ted.europa.eu/udl?uri=TED:NOTICE:517177-2018:TEXT:EN:HTML,"Empresa Nacional de Residuos Radiactivos, S. A., S. M. E., M. P. (ENRESA)",Madrid,28043,8,General public\services,S,73100000.0,487200.0,,
690409,2018517180,ted.europa.eu/udl?uri=TED:NOTICE:517180-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Elche,Elche,03202,3,General public\services,S,66510000.0,269500.0,,
690426,2018517189,ted.europa.eu/udl?uri=TED:NOTICE:517189-2018:TEXT:EN:HTML,Área de Gobierno de Medio Ambiente y Movilidad,Madrid,28014,3,Environment,S,90714500.0,228700.0,,
690427,2018517190,ted.europa.eu/udl?uri=TED:NOTICE:517190-2018:TEXT:EN:HTML,Ayuntamiento de la Anteiglesia de Erandio,Erandio (Bizkaia),48950,3,General public\services,S,60112000.0,240000.0,,
690444,2018517200,ted.europa.eu/udl?uri=TED:NOTICE:517200-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Área Hospitalaria Virgen del Rocío",Sevilla,41013,3,Health,S,71200000.0,288000.0,,
690446,2018517202,ted.europa.eu/udl?uri=TED:NOTICE:517202-2018:TEXT:EN:HTML,Concejalía Delegada del Ayuntamiento de Eivissa,Eivissa,07800,3,General public\services,S,51313000.0,231404.96,,
690447,2018517203,ted.europa.eu/udl?uri=TED:NOTICE:517203-2018:TEXT:EN:HTML,Junta de Gobierno del Ajuntament de València,València,46002,3,General public\services,S,72267100.0,280853.57,,
690517,2018517212,ted.europa.eu/udl?uri=TED:NOTICE:517212-2018:TEXT:EN:HTML,Diputación de Girona,Girona,17004,3,General public\services,S,85320000.0,276693.45,,
690523,2018517214,ted.europa.eu/udl?uri=TED:NOTICE:517214-2018:TEXT:EN:HTML,Fundación del Sector Público Estatal Centro Nacional de Investigaciones Oncológicas Carlos III,Madrid,28029,6,General public\services,S,63510000.0,600000.0,,
690552,2018517222,ted.europa.eu/udl?uri=TED:NOTICE:517222-2018:TEXT:EN:HTML,Rectorado de la Universidad de Córdoba,Córdoba,14071,6,Education,S,79800000.0,892561.98,,
690554,2018517223,ted.europa.eu/udl?uri=TED:NOTICE:517223-2018:TEXT:EN:HTML,Consejería de Fomento y Medio Ambiente de la Junta de Castilla y León,Valladolid,47014,3,General public\services,S,71621000.0,473032.0,,
690555,2018517224,ted.europa.eu/udl?uri=TED:NOTICE:517224-2018:TEXT:EN:HTML,Servicio Catalán de la Salud,Barcelona,08028,R,Health,S,79996100.0,1321777.56,,
690556,2018517225,ted.europa.eu/udl?uri=TED:NOTICE:517225-2018:TEXT:EN:HTML,Dirección General de Racionalización y Centralización de la Contratación,Madrid,28014,1,General public\services,S,64200000.0,378118354.7,42.37,
